"Date","Decades","Year","Name","NestName","ID","FieldAge","HatchDateJul","HatchDateJulYear","AllSex","CalcAge","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","MaxC1_11","MaxC12_22","MaxCIncubation","MinC1_11","MinC12_22","MinCIncubation","GDD10CSum1_11","GDD10CSum12_22","GDD10CSumIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","MaxCMinus10C1_11","MaxCMinus10C12_22","MaxCMinus10CIncubation","OneCMinusMinC1_11","OneCMinusMinC12_22","OneCMinusMinCIncubation","MaxC.win","MinC.win","GDD10CSum.win","PrecipSum.win","MaxCMinus10C.win","OneCMinusMinC.win"
"4/27/1990","89-99",1990,"BX","WEGO90","BX WEGO90",25,117,1990117,"",25,21.8,13.5,13.2,33.4,75.8,11.6,153.12,222.945,42.4,58.2,380,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,10.70707071,8.98989899,4.32748538,-6.474747475,-7.333333333,-1.456140351,16.9047619,5.357142857,1.130952381,5.5372,6.904761905,-4.357142857
"4/27/1990","89-99",1990,"YB","WEGO90","YB WEGO90",25,117,1990117,"",25,23.3,14.3,13.8,36,78.6,12.7,175.26,252.9,42.6,60.8,440,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,10.70707071,8.98989899,4.32748538,-6.474747475,-7.333333333,-1.456140351,16.9047619,5.357142857,1.130952381,5.5372,6.904761905,-4.357142857
"4/27/1990","89-99",1990,"ZA","WEGO90","ZA WEGO90",25,117,1990117,"F",25,21.9,14,13.4,33.1,73,11.2,150.08,226.735,39.9,54.8,380,20.70707071,18.98989899,14.32748538,7.474747475,8.333333333,2.456140351,45,40.27777778,-30.55555556,2.6162,5.1054,4.3434,10.70707071,8.98989899,4.32748538,-6.474747475,-7.333333333,-1.456140351,16.9047619,5.357142857,1.130952381,5.5372,6.904761905,-4.357142857
"4/28/1990","89-99",1990,"IQ","WPAR90","IQ WPAR90",27,118,1990118,"",27.7,23.9,12.2,12.5,36.7,78.3,12.8,160,226.6225,41.6,57,365,19.24242424,18.93939394,15.55555556,7.171717172,8.282828283,3.216374269,35.27777778,39.72222222,-11.66666667,2.7432,5.1562,4.3434,9.242424242,8.939393939,5.555555556,-6.171717172,-7.282828283,-2.216374269,17.02380952,6.111111111,1.567460317,5.8166,7.023809524,-5.111111111
"4/28/1990","89-99",1990,"JP","WPAR90","JP WPAR90",27,118,1990118,"",25.5,23.3,13.7,13.6,36.2,76.9,12.9,175.44,247.065,40.7,59.1,325,19.24242424,18.93939394,15.55555556,7.171717172,8.282828283,3.216374269,35.27777778,39.72222222,-11.66666667,2.7432,5.1562,4.3434,9.242424242,8.939393939,5.555555556,-6.171717172,-7.282828283,-2.216374269,17.02380952,6.111111111,1.567460317,5.8166,7.023809524,-5.111111111
"4/22/1991","89-99",1991,"AW","BROT91","AW BROT91",28,112,1991112,"",28,22.7,14.1,13.1,35.4,77.4,12.7,166.37,240.72,42,60.1,365,18.03030303,17.07070707,15.05847953,5.202020202,5.050505051,3.947368421,17.77777778,11.66666667,-9.444444444,4.953,1.3716,7.874,8.03030303,7.070707071,5.058479532,-4.202020202,-4.050505051,-2.947368421,18.05555556,5.833333333,1.944444444,2.5654,8.055555556,-4.833333333
"4/22/1991","89-99",1991,"BV","BROT91","BV BROT91",28,112,1991112,"",28,24,15,12.9,37,79.2,13,167.7,258.075,42.2,60.4,360,18.03030303,17.07070707,15.05847953,5.202020202,5.050505051,3.947368421,17.77777778,11.66666667,-9.444444444,4.953,1.3716,7.874,8.03030303,7.070707071,5.058479532,-4.202020202,-4.050505051,-2.947368421,18.05555556,5.833333333,1.944444444,2.5654,8.055555556,-4.833333333
"4/22/1991","89-99",1991,"CU","BROT91","CU BROT91",28,112,1991112,"",28,23.3,15.6,14.2,36.5,79.7,13.2,187.44,271.925,43.2,62.4,395,18.03030303,17.07070707,15.05847953,5.202020202,5.050505051,3.947368421,17.77777778,11.66666667,-9.444444444,4.953,1.3716,7.874,8.03030303,7.070707071,5.058479532,-4.202020202,-4.050505051,-2.947368421,18.05555556,5.833333333,1.944444444,2.5654,8.055555556,-4.833333333
"4/25/1991","89-99",1991,"doa","BURL91","doa BURL91",28,115,1991115,"",28,24.9,15.2,14.7,40,82.7,15.1,221.97,299,42.7,63.5,415,18.33333333,21.51515152,14.61988304,5.101010101,7.424242424,3.801169591,18.88888889,49.16666667,-15,1.3462,1.397,8.128,8.333333333,11.51515152,4.619883041,-4.101010101,-6.424242424,-2.801169591,18.33333333,5.793650794,2.063492063,2.5654,8.333333333,-4.793650794
"4/25/1991","89-99",1991,"YY","BURL91","YY BURL91",28,115,1991115,"M",28,25.8,14.6,14.9,38.1,80.8,12.3,183.27,280.9875,42.7,58.5,355,18.33333333,21.51515152,14.61988304,5.101010101,7.424242424,3.801169591,18.88888889,49.16666667,-15,1.3462,1.397,8.128,8.333333333,11.51515152,4.619883041,-4.101010101,-6.424242424,-2.801169591,18.33333333,5.793650794,2.063492063,2.5654,8.333333333,-4.793650794
"4/25/1991","89-99",1991,"ZX","BURL91","ZX BURL91",28,115,1991115,"",28,22.8,14.6,14.4,35.3,76.9,12.5,180,255.925,41.6,59.7,385,18.33333333,21.51515152,14.61988304,5.101010101,7.424242424,3.801169591,18.88888889,49.16666667,-15,1.3462,1.397,8.128,8.333333333,11.51515152,4.619883041,-4.101010101,-6.424242424,-2.801169591,18.33333333,5.793650794,2.063492063,2.5654,8.333333333,-4.793650794
