Month,ID,CalcAge,HatchDateJulYear,AllSex,BillDepth,BillWidth,BillNT,TEC,UB,UBS,TBS,Skull,Tarsus,Weight,MaxTempMean1_11,MaxTempMean12_22,MeanMaxTempIncubation,MinTempMean1_11,MinTempMean12_22,MeanMinTempIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation
4,8P WWCK01,27.4,2001109,F,13.3,11.7,22.2,35.5,13.3,176.89,221.875,45,61.6,460,16.81818182,23.98989899,11.28654971,2.323232323,6.515151515,0.497076023,49,115,17,0.4826,0.2286,1.524
4,1S WWCK01,25.2,2001110,F,12.4,12.2,19.6,33.2,13.6,168.64,204.18,40.7,57.4,365,17.87878788,24.8989899,11.78362573,2.929292929,7.272727273,0.380116959,49,128,17,0.4826,0.2286,1.397
4,0R WWCK01,25.6,2001110,F,13,12.2,21.3,35.4,14.1,183.3,223.02,41.8,60.7,405,17.87878788,24.8989899,11.78362573,2.929292929,7.272727273,0.380116959,49,128,17,0.4826,0.2286,1.397
4,5W BISA01,24.3,2001112,F,12.1,12.3,18.7,30.4,11.7,141.57,185.44,38.1,58.1,322,20.25252525,24.14141414,13.4502924,3.98989899,7.878787879,1.315789474,71,127,27,0.4572,1.1684,1.8288
4,2T BISA01,25.5,2001112,F,12.2,13.3,21.7,32.7,11,134.2,208.4625,41.2,59.9,375,20.25252525,24.14141414,13.4502924,3.98989899,7.878787879,1.315789474,71,127,27,0.4572,1.1684,1.8288
4,3U BISA01,25.6,2001112,F,12.5,12.8,21,33.5,12.5,156.25,211.8875,39.2,59.5,380,20.25252525,24.14141414,13.4502924,3.98989899,7.878787879,1.315789474,71,127,27,0.4572,1.1684,1.8288
4,6X CSWL01,26.1,2001112,F,11.9,12.2,20.1,32.2,12.1,143.99,194.005,40.7,60.2,355,20.25252525,24.14141414,13.4502924,3.98989899,7.878787879,1.315789474,71,127,27,0.4572,1.1684,1.8288
4,7Y CSWL01,26,2001112,F,11.8,12.1,19.8,32.9,13.1,154.58,196.5775,39.9,62.9,367,20.25252525,24.14141414,13.4502924,3.98989899,7.878787879,1.315789474,71,127,27,0.4572,1.1684,1.8288
4,5L BROT01,25,2001114,F,11,12,19.8,31.6,11.8,129.8,181.7,40.2,59.1,268,21.66666667,21.46464646,15.32163743,4.141414141,5.95959596,3.070175439,87,90,63,0,1.1684,1.8288
4,9F CUGO01,26.9,2001114,F,12.6,13.6,24.6,37.4,12.8,161.28,244.97,41.7,60.2,409,21.66666667,21.46464646,15.32163743,4.141414141,5.95959596,3.070175439,87,90,63,0,1.1684,1.8288
