name,id,nestName,sex,Field Sex
OC,OC LAPT16,LAPT16,,
PB,PB BEAR16,BEAR16,,
QA,QA BEAR16,BEAR16,,
RZ,RZ BEAR16,BEAR16,,
SY,SY BEAR16,BEAR16,,
dead fledgling,dead fledgling USGS16,USGS16,,
UW,UW GASP16,GASP16,,
WU,WU GASP16,GASP16,,
YS,YS BRA216,BRA216,,
ZR,ZR BRA216,BRA216,,
AO,AO SMUR17,SMUR17,,
CM,CM SMUR17,SMUR17,,
FJ,FJ FOPA17,FOPA17,,
GI,GI FOPA17,FOPA17,,
HH,HH SALE17,SALE17,M,M
IG,IG DART17,DART17,,
JF,JF DART17,DART17,,
KE,KE DART17,DART17,,
LD,LD DART17,DART17,,
NB,NB DART17,DART17,,
PZ,PZ WCRI17,WCRI17,,
QY,QY WCRI17,WCRI17,,
RX,RX WCRI17,WCRI17,,
SW,SW SSAP17,SSAP17,,
TV,TV SSAP17,SSAP17,,
UU,UU SSAP17,SSAP17,,
WS,WS SSAP17,SSAP17,,
XR,XR DANK17,DANK17,,
YQ,YQ DANK17,DANK17,M,
AN,AN DANK17,DANK17,,
BM,BM DANK17,DANK17,F,
CL,CL ROTA17,ROTA17,,
GH,GH ROTA17,ROTA17,,
JE,JE ROTA17,ROTA17,,
MB,MB ROTA17,ROTA17,,
Dead in nest,Dead in nest SWAH17,SWAH17,,
NA,NA FAIR17,FAIR17,,
OZ,OZ YETH17,YETH17,,
PY,PY YETH17,YETH17,,
QX,QX YETH17,YETH17,,
RW,RW DWEL17,DWEL17,,
SV,SV DWEL17,DWEL17,,
TU,TU ECLO17,ECLO17,,
UT,UT ECLO17,ECLO17,,
VS,VS ECLO17,ECLO17,,
WR,WR ECLO17,ECLO17,F,
XQ,XQ WAWD17,WAWD17,,
YP,YP WAWD17,WAWD17,,
ZO,ZO WAWD17,WAWD17,,
BL,BL WAWD17,WAWD17,,
CK,CK YFER17,YFER17,,
DJ,DJ YFER17,YFER17,,
EI,EI YFER17,YFER17,,
FH,FH YFER17,YFER17,,
GG,GG BEAR17,BEAR17,,
HF,HF BEAR17,BEAR17,,
IE,IE BEAR17,BEAR17,,
JD,JD FOWA17,FOWA17,M,M
KC,KC FOWA17,FOWA17,,
LB,LB FOWA17,FOWA17,,
NZ,NZ LANG17,LANG17,,
OY,OY LANG17,LANG17,,
PX,PX LANG17,LANG17,,
QW,QW LANG17,LANG17,,
SU,SU ICCL17,ICCL17,,
TT,TT ICCL17,ICCL17,F,
US,US ECRI17,ECRI17,M,M
VR,VR ECRI17,ECRI17,,
WQ,WQ ECRI17,ECRI17,,
XP,XP ECRI17,ECRI17,,
YO,YO ECRI17,ECRI17,,
ZN,ZN MNDY17,MNDY17,,
AL,AL MNDY17,MNDY17,,
BK,BK MNDY17,MNDY17,,
CJ,CJ JSU217,JSU217,,
DI,DI JSU217,JSU217,F,
EH,EH JSU217,JSU217,,
FG,FG JSU217,JSU217,,
GF,GF JSU217,JSU217,,
HE,HE NDYC17,NDYC17,,
ID,ID NDYC17,NDYC17,M,
JC,JC NDYC17,NDYC17,,
VR,VR ECRI17,ECRI17,,
KB,KB MINO17,MINO17,,
LA,LA MINO17,MINO17,F,
MZ,MZ WER217,WER217,,
NY,NY WER217,WER217,,
BJ,BJ LANG18,LANG18,,
CI,CI LANG18,LANG18,,
DH,DH LANG18,LANG18,,
EG,EG LANG18,LANG18,,
FF,FF SMUR18,SMUR18,,
GE,GE SMUR18,SMUR18,,
HD,HD SMUR18,SMUR18,,
IC,IC SMUR18,SMUR18,,
F-SHB,F-SHB SMUR18,SMUR18,,
JB,JB SALE18,SALE18,,
KA,KA SALE18,SALE18,,
LZ,LZ SALE18,SALE18,M,M
MY,MY SALE18,SALE18,F,
NX,NX SALE18,SALE18,,
OW,OW ECRI18,ECRI18,,
PV,PV ECRI18,ECRI18,,
QU,QU NEPO18,NEPO18,,
RT,RT NEPO18,NEPO18,,
SS,SS NEPO18,NEPO18,,
TR,TR NEPO18,NEPO18,,
UQ,UQ STEX18,STEX18,,
VP,VP STEX18,STEX18,,
WO,WO STEX18,STEX18,,
XN,XN STEX18,STEX18,,
YM,YM NBUR18,NBUR18,Failed,
ZL,ZL NBUR18,NBUR18,F,
