Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,MaxTempMean1_11,MaxTempMean12_22,MaxTempMeanIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,CDDSum1_11,CDDSum12_22,CDDSumIncubation
58,1991,4,16,FS,HART91,FS HART91,695-20471,5/13/1991,133,5/13/1991,1991133,133,27,25.8,26,4/16/1991,106,1991106,M,21.9,35.6,14.3,13,75.9,13.7,178.1,242.97,40.3,58,164,111,49,325,0.12,54.18181818,66.63636364,56.42105263,1.84,0.85,1.62,3,76,74,0,0,8
59,1991,4,15,GR,FRNO91,GR FRNO91,695-20472,5/13/1991,133,5/13/1991,1991133,133,28,26.5,27,4/15/1991,105,1991105,,20.8,33.2,13.9,13.4,73.4,12.4,166.16,226.59,40.2,57.9,169,121,62,343,0.12,53.72727273,66.27272727,56.89473684,2.12,0.47,2.08,3,69,77,0,0,8
60,1991,4,15,IP,FRNO91,IP FRNO91,695-20474,5/13/1991,133,5/13/1991,1991133,133,28,26.6,27,4/15/1991,105,1991105,,23.3,36,14.3,14.4,77.5,12.7,182.88,258.3,41.5,59.4,175,120,67,390,0.12,53.72727273,66.27272727,56.89473684,2.12,0.47,2.08,3,69,77,0,0,8
61,1991,4,15,JO,FRNO91,JO FRNO91,695-20475,5/13/1991,133,5/13/1991,1991133,133,28,25.4,25,4/15/1991,105,1991105,,21.6,33.5,14.7,12.8,71.1,11.9,152.32,230.3125,37.6,57.4,154,98,48,390,0.13,53.72727273,66.27272727,56.89473684,2.12,0.47,2.08,3,69,77,0,0,8
62,1991,4,15,KN,FRNO91,KN FRNO91,695-20476,5/13/1991,133,5/13/1991,1991133,133,28,25.2,25,4/15/1991,105,1991105,,21.1,31.8,13.2,12.1,70.9,10.7,129.47,201.135,39.1,52.4,144,92,47,295,0.13,53.72727273,66.27272727,56.89473684,2.12,0.47,2.08,3,69,77,0,0,8
63,1991,4,21,LM,LOWL91,LM LOWL91,695-20477,5/15/1991,135,5/15/1991,1991135,135,24,25.7,26,4/21/1991,111,1991111,,23.2,35.3,14.8,13.5,76.6,12.1,163.35,249.7475,41.3,61.9,158,101,56,410,0.12,61.27272727,62.27272727,59.05263158,2.22,0.56,1.72,54,41,74,0,0,8
64,1991,4,21,ML,LOWL91,ML LOWL91,695-20478,5/15/1991,135,5/15/1991,1991135,135,24,25.5,26,4/21/1991,111,1991111,F,22.3,35.6,14.6,15.4,74.8,13.3,204.82,267,39.2,60.5,153,96,55,367,0.12,61.27272727,62.27272727,59.05263158,2.22,0.56,1.72,54,41,74,0,0,8
65,1991,4,21,NK,LOWL91,NK LOWL91,695-20479,5/15/1991,135,5/15/1991,1991135,135,24,25.4,25,4/21/1991,111,1991111,,23.5,36.6,14.9,15.1,77.9,13.1,197.81,274.5,41.3,61.8,157,96,49,390,0.12,61.27272727,62.27272727,59.05263158,2.22,0.56,1.72,54,41,74,0,0,8
66,1991,4,18,OJ,ELWO91,OJ ELWO91,695-20480,5/16/1991,136,5/16/1991,1991136,136,28,27.4,27,4/18/1991,108,1991108,,22,35.5,14,13.7,76.9,13.5,184.95,245.8375,41.4,60.3,190,124,82,367,0.12,57,63.72727273,57.42105263,1.78,0.85,1.61,22,57,74,0,0,8
67,1991,4,18,QH,ELWO91,QH ELWO91,695-20482,5/16/1991,136,5/16/1991,1991136,136,28,26.7,27,4/18/1991,108,1991108,,22.2,35,13.2,13.8,76.4,12.8,176.64,236.25,41.4,58.6,178,117,71,330,0.12,57,63.72727273,57.42105263,1.78,0.85,1.61,22,57,74,0,0,8
68,1991,4,18,doa,ELWO91,doa ELWO91,,5/16/1991,136,5/16/1991,1991136,136,28,26.4,26,4/18/1991,108,1991108,,23.8,36.7,11.7,12.7,78.5,12.9,163.83,223.87,41.8,56.4,178,116,63,365,0.13,57,63.72727273,57.42105263,1.78,0.85,1.61,22,57,74,0,0,8
69,1991,4,19,RG,WHIT91,RG WHIT91,695-20483,5/17/1991,137,5/17/1991,1991137,137,28,26.5,27,4/19/1991,109,1991109,,22.4,33.9,14,13.4,75.5,11.5,154.1,232.215,41.6,52.9,173,121,62,320,0.13,58.45454545,62.18181818,58.26315789,1.78,1.01,1.61,33,46,74,0,0,8
70,1991,4,19,SF,WHIT91,SF WHIT91,695-20484,5/17/1991,137,5/17/1991,1991137,137,28,28,28,4/19/1991,109,1991109,,26.2,39.1,14.1,14.5,84.4,12.9,187.05,279.565,45.3,60.4,202,134,89,450,0.13,58.45454545,62.18181818,58.26315789,1.78,1.01,1.61,33,46,74,0,0,8
71,1991,4,19,TE,WHIT91,TE WHIT91,695-20485,5/17/1991,137,5/17/1991,1991137,137,28,28,28,4/19/1991,109,1991109,M,24.8,37.7,16.1,14.8,81.3,12.9,190.92,291.2325,43.6,59.1,191,139,84,435,0.13,58.45454545,62.18181818,58.26315789,1.78,1.01,1.61,33,46,74,0,0,8
