"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1991129,"CS TRCH91",25,25,"",24.7,14.4,13.7,36.3,11.6,158.92,255.0075,40.7,57.6,400
1991129,"DR TRCH91",25,25,"",25.7,16.6,14.6,36.3,10.6,154.76,283.14,42.1,59.3,415
1991129,"EQ TRCH91",25,25,"",24.4,14.3,13.3,36,11.6,154.28,248.4,41.4,60,393
1991129,"FP TRCH91",25,25,"",25.4,16.1,15.7,36.9,11.5,180.55,293.355,42.4,61.5,447
1991135,"GO GENR91",29,29,"M",24.7,17,14.7,38,13.3,195.51,301.15,42.9,61.3,435
1991154,"MI SWEG91",25,25.9,"",24.6,16.4,14.7,38.1,13.5,198.45,296.2275,41,62.7,443
1992104,"AT CUHA92",28,27.7,"",23.2,12.4,12.7,36.4,13.2,167.64,228.41,42.3,61.4,370
1992104,"BS CUHA92",28,26.1,"",21.7,13.2,12.2,35.8,14.1,172.02,227.33,39.9,59.1,370
1992104,"none CUHA92",28,25.9,"",21.8,14.3,12.9,34.6,12.8,165.12,235.28,41,58,315
1992109,"CR BROT92",24,24.7,"",23.1,14.7,13,35.6,12.5,162.5,246.53,42.3,63.3,420
1992109,"DQ BROT92",24,24.9,"F",22.2,14,12.7,34.1,11.9,151.13,227.6175,40.7,61.5,405
1992109,"EP BROT92",24,24.9,"",21.5,14,13.6,33.4,11.9,161.84,230.46,38.8,61.2,380
1992111,"HM SSET92",28,28,"",21.9,12.6,12.4,35.1,13.2,163.68,219.375,39.5,55.7,300
1992111,"IL SSET92",28,28,"",21.3,11.7,10.8,32.8,11.5,124.2,184.5,39.5,49.7,297
1992113,"JK KAYS92",27,27,"",25.4,13.1,12.8,38.2,12.8,163.84,247.345,44.7,64.4,435
1992113,"KJ KAYS92",27,27,"",25.4,13,13.6,38,12.6,171.36,252.7,43.7,64.2,430
1992113,"LI STAD92",27,27,"",23.6,11.8,12.9,36,12.4,159.96,222.3,42.8,60.1,440
1992113,"MH STAD92",27,27,"",21.1,13.4,12.7,33,11.9,151.13,215.325,40.6,56.2,345
1992113,"NG STAD92",27,27,"",23.6,13.7,13.2,36.4,12.8,168.96,244.79,43.3,60.6,395
1992113,"OF STAD92",27,27,"",21.1,13.1,12.1,34.1,13,157.3,214.83,39.9,56.5,290
1992115,"MG NWOD92",28,27.1,"",24.5,14.6,13.1,36.6,12.1,158.51,253.455,43.3,62.5,427
1992115,"NF NWOD92",28,26,"",21.6,13.3,12,32.2,10.6,127.2,203.665,40.8,59.4,380
1992115,"OE NWOD92",28,27.2,"",22.9,12.5,12.2,34,11.1,135.42,209.95,42.7,59.9,390
1992115,"PD NWOD92",28,26.6,"M",23.2,13.4,13.3,35,11.8,156.94,233.625,43.9,63.6,455
1992115,"PE HIHI92",26,26,"",26.4,13.4,13.7,40.3,13.9,190.43,273.0325,44.4,63.2,465
1992115,"QD HIHI92",26,26,"",25.1,13.4,13,37.3,12.2,158.6,246.18,45.2,61,415
1992115,"RC HIHI92",26,26,"",25.2,13.2,13.3,38.5,13.3,176.89,255.0625,43.5,61.5,445
1992116,"TA MART92",25,25,"",23,13.7,13,36.2,13.2,171.6,241.635,42,60.3,385
1992116,"UZ MART92",25,25,"",21.8,12.7,12.7,34.2,12.4,157.48,217.17,40.8,58.8,377
1992116,"VY MART92",25,25,"",21.6,12.9,12.9,33.6,12,154.8,216.72,41.4,58.5,370
1992116,"WX MART92",25,25,"",21,12.1,12.1,31.9,10.9,131.89,192.995,42.1,57.1,350
1992117,"BR BUFA92",25,24.6,"",19.8,12.7,11.9,29,9.2,109.48,178.35,41.7,55.5,308
1992117,"CQ BUFA92",25,24.2,"",19.3,12.6,11.4,29.2,9.9,112.86,175.2,38,52.8,315
1992117,"DP SEWR92",25,25,"",21.8,13.8,13.3,32.9,11.1,147.63,222.8975,42.5,61.2,410
1992117,"EO SEWR92",25,25,"",23.5,12.9,14.3,33.6,10.1,144.43,228.48,45.8,62.4,444
1992117,"FN SEWR92",25,25,"F",21.5,14.1,13.1,32.8,11.3,148.03,223.04,40.9,58.4,375
1992117,"GM PAHA92",26,26,"M",23.9,12.6,12.7,36.2,12.3,156.21,228.965,42.5,63.3,362
1992117,"HL PAHA92",26,26,"",23.3,13.6,12.4,36.1,12.8,158.72,234.65,41.3,60.9,360
1992117,"IK PAHA92",26,26,"",22.7,13.5,13,35.9,13.2,171.6,237.8375,43,63.4,344
1992117,"JJ PAHA92",26,26,"",24.3,13,12.6,36.9,12.6,158.76,236.16,40.6,63,357
1992117,"KI PAHA92",26,26,"",23.1,13.9,12.6,35.3,12.2,153.72,233.8625,44.2,60.3,340
1992117,"LH WAIT92",26,25.6,"",21.1,11.8,12.3,33.5,12.4,152.52,201.8375,39.9,57,308
1992117,"M WAIT92",26,24.5,"",20.4,11.8,11.9,30.8,10.4,123.76,182.49,40.1,48.6,215
1992117,"TX BUFA92",25,25.2,"",20.9,12.2,11.6,31.1,10.2,118.32,185.045,40.3,57.6,328
1992117,"XW SDOT92",25,25,"",23.4,12.5,13.1,35.2,11.8,154.58,225.28,43.1,60,405
1992117,"YV BUFA92",25,26.2,"",22.9,12.6,12.7,34.2,11.3,143.51,216.315,42.5,61.2,425
1992117,"ZU BUFA92",25,25.2,"",20.6,12.5,12,31.8,11.2,134.4,194.775,40.3,54.6,338
1992118,"AR WINK92",28,28,"M",26,12,13.8,38.5,12.5,172.5,248.325,44.7,65,425
1992118,"QC HART92",28,27.2,"F",23.7,13,13,35.8,12.1,157.3,232.7,43.7,59.9,405
